epoch,lr-Adam,step,train_loss_epoch,train_loss_step
,0.05,0,,
0,,49,,0.009049208834767342
0,,99,,0.011403417214751244
0,,149,,0.008120170794427395
0,,188,0.011130571365356445,
,0.05,189,,
1,,199,,0.010075602680444717
1,,249,,0.00694993743672967
1,,299,,0.006926982197910547
1,,349,,0.009668946266174316
1,,377,0.010779703967273235,
,0.05,378,,
2,,399,,0.01703748293220997
2,,449,,0.011172229424118996
2,,499,,0.007791339419782162
2,,549,,0.010479100048542023
2,,566,0.010750054381787777,
,0.05,567,,
3,,599,,0.009098201990127563
3,,649,,0.009238884784281254
3,,699,,0.007556222379207611
3,,749,,0.006513395346701145
3,,755,0.010717608965933323,
,0.05,756,,
4,,799,,0.01128452643752098
4,,849,,0.0066537996754050255
4,,899,,0.00836146716028452
4,,944,0.010746458545327187,
,0.05,945,,
5,,949,,0.010892356745898724
5,,999,,0.010601010173559189
5,,1049,,0.008643866516649723
5,,1099,,0.012008939869701862
5,,1133,0.010746643878519535,
,0.05,1134,,
6,,1149,,0.018115071579813957
6,,1199,,0.011897711083292961
6,,1249,,0.008129236288368702
6,,1299,,0.007332771085202694
6,,1322,0.010733608156442642,
,0.05,1323,,
7,,1349,,0.005975654814392328
7,,1399,,0.010047388263046741
7,,1449,,0.00803852453827858
7,,1499,,0.009370725601911545
7,,1511,0.010861692950129509,
,0.05,1512,,
8,,1549,,0.007953131571412086
8,,1599,,0.008530844002962112
8,,1649,,0.011681301519274712
8,,1699,,0.009584549814462662
8,,1700,0.01076193805783987,
,0.05,1701,,
9,,1749,,0.010374002158641815
9,,1799,,0.008814067579805851
9,,1849,,0.010223901830613613
9,,1889,0.010712970048189163,
