Date,Close,RSI,RSI_change,MACD_diff,MACD_cross,BB_diff,realized_vol_5d,realized_vol_20d,vol_regime,close_to_SMA20,zscore_20d,dist_52w_high,dist_52w_low,Return_5d,Return_20d,CO_spread,vol_ratio,vol_up_confirm,vol_price_confirm,nifty_ret,rel_nifty,sentiment,sentiment_EMA,target
1996-01-01,4.617049217224121,,,,,,,,,,,,,,,0.003658469211266562,,0.0,,,,0.0,0.0,0.0
1996-01-02,4.581142902374268,,,,,,,,,,,,,,,-0.0053594359981610894,,0.0,,,,0.0,0.0,1.0
1996-01-03,4.6159281730651855,,,,,,,,,,,,,,,-0.008674604404170524,,0.0,,,,0.0,0.0,0.0
1996-01-04,4.5732903480529785,,,,,,,,,,,,,,,0.00024535056420140524,,0.0,,,,0.0,0.0,0.0
1996-01-05,4.541874408721924,,,,,,,,,,,,,,,-0.002955676497605144,,0.0,,,,0.0,0.0,0.0
1996-01-08,4.360109806060791,,,,,,0.017450389319349512,,,,,,,-0.0556501347667695,,-0.03811892500025786,,0.0,,,,0.0,0.0,0.0
1996-01-09,4.234445095062256,,,,,,0.018879075088727253,,,,,,,-0.07567932603288341,,0.0007954594635486733,,0.0,,,,0.0,0.0,0.0
1996-01-10,4.125611305236816,,,,,,0.013934569013015178,,,,,,,-0.1062228114140642,,-0.00621629459404663,,0.0,,,,0.0,0.0,1.0
1996-01-11,4.254641532897949,,,,,,0.02799260680605689,,,,,,,-0.06967605179292635,,0.04175825740245788,,0.0,,,,0.0,0.0,0.0
1996-01-12,4.209761619567871,,,,,,0.02780514068533645,,,,,,,-0.0731224070212696,,-0.017800976975916954,,0.0,,,,0.0,0.0,0.0
1996-01-15,4.1660027503967285,,,,,,0.023969610288730205,,,,,,,-0.044518845693804154,,-0.007484587635807292,,0.0,,,,0.0,0.0,
1996-01-16,4.17385721206665,,,,,,0.02136149070574835,,,,,,,-0.014308340676386755,,0.005405426477861707,,0.0,,,,0.0,0.0,0.0
1996-01-17,4.0077996253967285,,,,,,0.025650979185690488,,,,,,,-0.028556175345589296,,-0.03459465726564042,,0.0,,,,0.0,0.0,0.0
1996-01-18,3.896721124649048,15.009437969856734,,,,,0.016396739391218336,,,,,,,-0.08412469193500127,,-0.002298352417720646,,0.0,,,,0.0,0.0,0.0
1996-01-19,3.8282792568206787,13.65180370931364,-1.3576342605430938,,,,0.01596786725158343,,,,,,,-0.09061851886671701,,-0.0037956546621065097,,0.0,,,,0.0,0.0,1.0
1996-01-22,3.8933558464050293,20.97144834392759,7.319644634613951,,,,0.02278186495000176,,,,,,,-0.06544568506723503,,0.013730600858834706,,0.0,,,,0.0,0.0,0.0
1996-01-23,3.728421211242676,17.03097789964366,-3.940470444283932,,,,0.0240010039654491,,,,,,,-0.10672046938649837,,-0.04566333941586662,,0.0,,,,0.0,0.0,0.0
1996-01-24,3.6005115509033203,14.720883671164046,-2.3100942284796133,,,,0.023099088747003796,,,,,,,-0.10162386161036963,,-0.025804533686067135,,0.0,,,,0.0,0.0,0.0
1996-01-25,3.4490416049957275,12.549978302400348,-2.170905368763698,,,,0.024960750611270927,,,,,,,-0.11488620954203899,,-0.0399749237535287,,0.0,,,,0.0,0.0,
1996-01-26,3.4490416049957275,12.549978302400348,0.0,,,0.4271521994447571,0.027203602922376946,,,-0.16190691583771105,-1.7632434942049424,,,-0.09906217033391174,,0.0,0.0,0.0,0.0,,,0.0,0.0,1.0
1996-01-29,3.720566511154175,33.07009365748365,20.520115355083306,,,0.38592360290635236,0.051523637330449214,0.029286069084893538,1.7593223993665421,-0.08597271315375611,-0.950215093917701,,,-0.04438056578116312,-0.19416789033254722,0.0836601174825497,2.2223694685757773,1.0,0.17495546024449424,,,0.0,0.0,1.0
1996-01-30,4.054924488067627,48.95430613270823,15.88421247522458,,,0.33472376085362643,0.06228908314493936,0.03688747765652262,1.6886240833527175,0.0026495251870550475,0.030778974894394254,,,0.08757145674432221,-0.11486618634706147,0.05672525499520682,3.1376804557409153,1.0,0.28197546965958203,,,0.0,0.0,0.0
1996-01-31,3.966287136077881,45.847923770788164,-3.106382361920069,,,0.31578024867007065,0.059854957951816265,0.03692713246871238,1.620893742630305,-0.011326808522471227,-0.14144631329653554,,,0.10158989354798553,-0.14073898306695565,-0.012569825211920148,2.006706065680061,0.0,-0.0438649628142412,,,0.0,0.0,1.0
