Date,actual_return,pred_return,residual
2020-11-05,0.012787694,0.010342686,0.0024450077
2020-11-06,-0.016139807,0.020612128,-0.036751933
2020-11-09,-0.023601603,-0.0019282091,-0.021673394
2020-11-10,-0.043798465,0.015003992,-0.058802456
2020-11-11,-0.005006931,0.0015544351,-0.006561366
2020-11-12,-0.0034594757,0.016455606,-0.019915082
2020-11-13,-0.04853738,0.01612115,-0.06465853
2020-11-14,-0.025770409,0.016921518,-0.042691927
2020-11-17,-0.014649354,0.012647625,-0.027296979
2020-11-18,-0.019827008,0.014270195,-0.034097202
2020-11-19,-0.010414934,0.0022051006,-0.012620035
2020-11-20,0.01595155,0.002047313,0.013904236
2020-11-23,0.0021530818,0.010513795,-0.008360713
2020-11-24,-0.0030040513,0.0101140505,-0.013118101
2020-11-25,0.008342917,-0.0018635564,0.010206474
2020-11-26,-0.0029958847,0.0054792883,-0.008475173
2020-11-27,0.014716544,0.0061432407,0.008573303
2020-12-01,0.019873116,0.0065775756,0.013295541
2020-12-02,0.035135243,0.0042463937,0.03088885
2020-12-03,0.021868056,0.0051242136,0.016743843
2020-12-04,0.030332638,-0.008834477,0.039167114
2020-12-07,0.016903246,-0.005881768,0.022785014
2020-12-08,-0.009730344,-0.0059765773,-0.0037537664
2020-12-09,-0.024865044,-0.0074137086,-0.017451335
2020-12-10,-0.0106627485,-0.00634621,-0.0043165386
2020-12-11,-0.007104497,-0.0039500464,-0.0031544506
2020-12-14,-0.025912633,-0.0055943504,-0.020318283
2020-12-15,-0.019069599,-0.0031551616,-0.015914436
2020-12-16,-0.01654392,-0.0045775175,-0.011966402
2020-12-17,0.004306132,-0.004725161,0.009031293
2020-12-18,0.005899998,-0.0018451636,0.0077451617
2020-12-21,0.025957689,-0.00036372826,0.026321417
2020-12-22,0.030360837,-0.001979042,0.03233988
2020-12-23,0.021323608,-0.0043089474,0.025632557
2020-12-24,-0.0033348235,-0.002257939,-0.0010768846
2020-12-28,-0.0062148618,-0.0025271166,-0.0036877452
2020-12-29,-0.012034941,-0.003831032,-0.00820391
2020-12-30,-0.0407165,-0.0024821418,-0.038234357
2020-12-31,-0.03734934,-0.0024303594,-0.03491898
2021-01-01,-0.027069239,-0.0016169678,-0.025452271
2021-01-04,-0.047015026,0.00050778786,-0.047522813
2021-01-05,-0.004603048,0.003443714,-0.008046762
2021-01-06,0.012824838,0.003144443,0.009680395
2021-01-07,0.025874335,0.0034593618,0.022414973
