Date,Close,RSI,RSI_change,RSI_overbought,RSI_oversold,MACD_diff,MACD_cross,BB_diff,ATR,realized_vol_5d,realized_vol_20d,vol_regime,close_to_SMA20,close_to_SMA50,SMA20_to_SMA50,zscore_20d,dist_52w_high,dist_52w_low,Return_1d,Return_5d,Return_20d,lag1_return,lag2_return,gap,HL_spread,CO_spread,vol_ratio,vol_zscore,vol_up_confirm,vol_price_confirm,nifty_ret,rel_nifty,ADX,ADX_slope,Stochastic_K,Stochastic_D,sentiment,sentiment_EMA,target_vol,target
1996-12-17,4.507760524749756,55.65143317317544,-3.1875032310338725,0.0,0.0,0.03999966934667406,1.0,0.09902488573212774,0.034126118993783296,0.03810108133837471,0.026655202480866978,1.429405061384304,0.04272337518098698,0.009623430304566303,-0.03174374495122014,1.6131467949773708,-0.2455220760870762,0.30695977937743035,-0.013347189428454809,0.06956024121807869,0.015319921407549897,0.03561945087652685,0.0002656405179957133,-0.0015401982408769785,0.030697205647533695,-0.01182520434651039,0.9357546289885083,-0.13579803222550987,0.0,-0.01248969429166307,0.0,-0.013347189428454809,15.56081396685916,3.63204898334158,79.84492925796684,78.21089231061863,0.0,0.0,0.026655202480866978,0.582043209676323
1996-12-18,4.57460355758667,58.317056192284035,2.665623019108594,0.0,0.0,0.042827523041307165,1.0,0.10834195288263834,0.03362417285025932,0.022890709323916493,0.025476518769532375,0.8985022455772773,0.054694938347880744,0.024078131412571167,-0.02902906406592702,1.866145104228323,-0.23433434941749276,0.326339947194642,0.01482843475599771,0.014564315264934624,0.06672164666923819,-0.013347189428454809,0.03561945087652685,0.014568131699181865,0.026147207335257834,0.00025656537859114644,1.0717959110088715,0.1575562324238708,0.0,0.01589305573814018,0.0,0.01482843475599771,17.132817744672177,4.452957386233091,83.1818602181069,85.59771384937274,0.0,0.0,0.025476518769532375,0.020494757442950134
1996-12-19,4.576948165893555,58.411482154587105,0.09442596230307032,0.0,0.0,0.042690823051569335,1.0,0.11436264172210582,0.03294503712311651,0.018575163577230824,0.025007717413603334,0.7427772503189987,0.05083182211111211,0.024624517469090078,-0.024939580331105486,1.6490737433025568,-0.23394192502004418,0.32701973236483184,0.0005125271025936406,0.03775555061105962,0.08627878944534983,0.01482843475599771,-0.013347189428454809,-0.0028199811565910848,0.024340190804692095,0.0033419324457082907,0.7398847511207328,-0.555648870999849,0.0,0.0003792109877451261,0.0,0.0005125271025936406,18.385415739709916,4.2171245048563435,83.63626167788976,82.22101705132116,0.0,0.0,0.025007717413603334,1.720945999171135
1996-12-20,4.784511566162109,65.79813915294326,7.386656998356159,0.0,0.0,0.05370244713804187,1.0,0.12866400841126746,0.032888619902708055,0.024223263900488578,0.02635163337195718,0.9192319716418959,0.09080689107091622,0.07009089336593664,-0.018991443741835295,2.522525997715642,-0.19920139200922726,0.3871997295790537,0.04534973802309428,0.08452939801221371,0.14703407065169305,0.0005125271025936406,0.01482843475599771,0.012554393885071414,0.038725476107439746,0.03238872334768149,1.919502420122677,1.8494526398006514,0.0,0.08704893188725885,0.0,0.04534973802309428,20.3320186227297,4.771204655870539,94.78265533941598,87.20025907847088,0.0,0.0,0.02635163337195718,-0.5989035801288796
1996-12-23,4.712978839874268,61.729001109274314,-4.06913804366895,0.0,0.0,0.05319071572879202,1.0,0.14382786029979872,0.032904642263605025,0.02484232419756905,0.024963774987034767,0.9951349189163581,0.07032049184591563,0.05281084506035919,-0.016359255866771855,1.7809299345920448,-0.2111740472834287,0.36645985316944474,-0.014950894213266896,0.03157073074202654,0.07834710292966451,0.04534973802309428,0.0005125271025936406,0.004657027853245036,0.026623626418908596,-0.019517030710878767,1.158937246540444,0.3390440101341019,0.0,-0.017327148172840996,0.0,-0.014950894213266896,22.13957844267664,5.006760698004463,84.17401497092132,87.530977329409,0.0,0.0,0.024963774987034767,-0.0801865404006496
1996-12-24,4.703597068786621,61.19447885591075,-0.5345222533635621,0.0,0.0,0.04932829050977747,1.0,0.1544383877810498,0.03186183337221378,0.023029532957341284,0.024824920460936182,0.9276780158703803,0.06502738860201415,0.04942304413322395,-0.014651589842466787,1.5413528582012443,-0.21274430354126905,0.3637397447245623,-0.001990624487483772,0.04344430964369761,0.05886992779211009,-0.014950894213266896,0.04534973802309428,-0.0027369986370148936,0.017452109139763392,0.0007484225811155657,0.9134513760946023,-0.21706282463954743,0.0,-0.001818338677379664,0.0,-0.001990624487483772,23.546767777135546,5.16135203742563,82.78265411200633,87.24644147411453,0.0,0.0,0.024824920460936182,0.0
1996-12-25,4.703597068786621,61.19447885591075,0.0,0.0,0.0,0.04405448359799162,1.0,0.15994448419658067,0.02958598813134137,0.02300582171791275,0.022558530856817482,1.0198280137981632,0.05969529822102535,0.04810130331009531,-0.010940876052194988,1.373129966264373,-0.21274430354126905,0.3637397447245623,0.0,0.028197746444284633,0.10434999900359321,-0.001990624487483772,-0.014950894213266896,0.0,0.0,0.0,0.0,-2.0809467712431844,0.0,0.0,0.0,0.0,24.85344358770453,4.52142496497483,81.63269305821059,82.86312071371275,0.0,0.0,0.022558530856817482,1.899399906367102
1996-12-26,4.919367790222168,68.47562944654783,7.2811505906370755,0.0,0.0,0.051842085939894866,1.0,0.17003410189119525,0.029741215235299344,0.028657098796630056,0.024151604619739156,1.1865505107353633,0.09985150505436007,0.09430561470171055,-0.005042399203131893,2.081643352835968,-0.17663008561507998,0.42629933566449285,0.04587355555334782,0.07481396160005738,0.16108438052312524,0.0,-0.001990624487483772,0.017202512004947712,0.0321810886732729,0.028186170610106216,0.9222107218862386,-0.16306718752473182,0.0,0.042305084782341365,0.0,0.04587355555334782,26.976594492744145,4.837016050067504,96.8943920864869,87.10324641890126,0.0,0.0,0.024151604619739156,0.0
1996-12-27,4.919367790222168,68.47562944654783,0.0,0.0,0.0,0.05351994561459672,1.0,0.18209926228616322,0.02761684271849225,0.023261891429140886,0.02419764217331021,0.9613288461137157,0.0917084046026123,0.09260123287371422,0.0008178266901104488,1.7985233978999169,-0.17663008561507998,0.42629933566449285,0.0,0.02818599604060168,0.15692171811811995,0.04587355555334782,0.0,0.0,0.0,0.0,0.0,-1.8546284181029353,0.0,0.0,0.0,0.0,28.948091761709502,5.401323984573956,96.8943920864869,91.80715907706146,0.0,0.0,0.02419764217331021,0.0
1996-12-30,4.919367790222168,68.47562944654783,0.0,0.0,0.0,0.05115839799217578,1.0,0.1890304215968371,0.025644211095742803,0.020755742320921623,0.02414960323495665,0.8594651481013816,0.08355903405587323,0.0909021519415577,0.006776850780523152,1.5904899328266893,-0.17663008561507998,0.42629933566449285,0.0,0.04379161404285159,0.159800494738513,0.0,0.04587355555334782,0.0,0.0,0.0,0.0,-1.7024340349326328,0.0,0.0,0.0,0.0,30.778767797177334,5.925324209472805,96.69964851149227,96.82947756148867,0.0,0.0,0.02414960323495665,-0.5991499637233325
1996-12-31,4.846663951873779,63.464279582149345,-5.011349864398483,0.0,0.0,0.041632434909604804,1.0,0.19255730388880424,0.02620902393620694,0.023072884229579513,0.024666782767368264,0.935382795850567,0.060872595045115684,0.07423206543765644,0.01259290743764817,1.1617706035869204,-0.18879875356370357,0.4052199122998328,-0.014779102000240019,0.03041648359647109,0.13357093562678246,0.0,0.0,0.004767902039055836,0.028550702879151183,-0.01945424809015847,0.7276449745836021,-0.4506171208265821,0.0,-0.010753939299333111,0.0,-0.014779102000240019,31.254513261834315,4.277918769090171,83.07396654238097,92.22266904678672,0.0,0.0,0.024666782767368264,2.281867243178951
1997-01-01,5.145695209503174,72.40842907491651,8.944149492767167,1.0,0.0,0.0517436983839038,1.0,0.19465519838092768,0.027431695712862195,0.033194096049659116,0.027038544203277715,1.2276584049830317,0.1149790096487903,0.13981127092452036,0.022271505616551498,2.065416583732477,-0.13874896027886152,0.49191968802049724,0.06169836832070552,0.09399149932513251,0.22058411516486798,-0.014779102000240019,0.0,0.013791263915521924,0.05013668533616052,0.04725539281148868,1.8751862737688896,1.4337126205773958,0.0,0.11569593338892428,0.0,0.06169836832070552,32.57258659296437,3.624494831254868,96.87504026818496,92.21621844068606,0.0,0.0,0.027038544203277715,-0.8458049855926544
1997-01-02,5.023737907409668,65.37877348851747,-7.029655586399045,0.0,0.0,0.04664870515758687,1.0,0.20201240900232062,0.028224841334945846,0.033462745320948305,0.028021637415487573,1.1941752305471425,0.07995022459502699,0.11239225264092192,0.030040299364779015,1.428761356198429,-0.15916133391413523,0.45655993726123434,-0.02370084063048905,0.021216164685825767,0.1714523248991251,0.06169836832070552,-0.014779102000240019,0.0025069067583507352,0.02987854656421691,-0.02614221130264698,1.3740876312504695,0.6132633270798368,0.0,-0.03256703196059359,0.0,-0.02370084063048905,33.79651182901371,3.0177440318363757,79.80783044391956,86.58561241816182,0.0,0.0,0.028021637415487573,0.4170423608235013
1997-01-03,5.082371234893799,67.03572524500578,1.6569517564883114,0.0,0.0,0.04370836304136183,1.0,0.20179951882245514,0.02745562815157248,0.03346490918844127,0.02798577880297248,1.1957826660477582,0.08339170594487041,0.1250539199135939,0.038455356211526626,1.4870960479020907,-0.1493476912085283,0.47355982009264963,0.011671255261475943,0.03313503922101946,0.1831833628634123,-0.02370084063048905,0.06169836832070552,-0.007703034017551557,0.02168890306697895,0.019524688619646666,1.259226785735034,0.4368522088589916,0.0,0.014696757248401457,0.0,0.011671255261475943,34.67080422688519,3.416290965050873,87.45884828042705,88.04723966417718,0.0,0.0,0.02798577880297248,-0.22990143109281902
1997-01-06,5.04953670501709,65.15516518162809,-1.8805600633776862,0.0,0.0,0.03633576691898943,1.0,0.19821007599310744,0.027153217753449276,0.03392326757094673,0.02810106266737626,1.2071880687391128,0.06773136317842403,0.117350458802284,0.04647151646473489,1.2477393814909616,-0.1548433087769464,0.4640399244176221,-0.006460474522458792,0.026460496621872442,0.17746817644110968,0.011671255261475943,-0.02370084063048905,0.00599916621562089,0.020900995525951933,-0.012385339030598339,0.8296143755312438,-0.29642835618134733,0.0,-0.005359702536585162,0.0,-0.006460474522458792,35.645140928832284,3.0725543358679133,81.26142601288356,82.84270157907672,0.0,0.0,0.02810106266737626,0.2538432176788889
1997-01-07,5.084715843200684,66.24767090401215,1.092505722384061,0.0,0.0,0.030829260364466288,1.0,0.18245460915291223,0.026571285459239605,0.03198203558285168,0.027445307329333944,1.165300690536222,0.06536924088706751,0.12413721244861042,0.05516206898615772,1.3111133603783256,-0.14895526681107973,0.4742396052628395,0.0069668051226641214,0.04911664883117606,0.20645492898738627,-0.006460474522458792,0.011671255261475943,-0.0009290898929047903,0.021448376522230833,0.007903237833961704,1.1852625827427477,0.33236709598656183,0.0,0.008257493433154281,0.0,0.0069668051226641214,36.36091994214174,2.5644081131280316,86.66666757649297,85.12898062326785,0.0,0.0,0.027445307329333944,0.6931039639952328
1997-01-08,5.1679768562316895,68.7453739074316,2.4977030034194456,0.0,0.0,0.029779249575813488,1.0,0.18485195817882258,0.026917739008850774,0.016214557998578145,0.023625261286348533,0.6863229067416688,0.07538963965254543,0.14111281555705812,0.06111568633462716,1.4785756774580463,-0.13501961164270593,0.4983799282955912,0.01637476224799128,0.00433015284064342,0.1461637788813781,0.0069668051226641214,-0.006460474522458792,0.023754742757163126,0.029271619490160525,-0.0072087387739920485,1.6308965109300426,1.1206076022488467,0.0,0.026705542617557962,0.0,0.01637476224799128,37.61300930415913,2.9422050772739397,83.18103967001761,83.70304441979805,0.0,0.0,0.023625261286348533,-0.09973740713272337
1997-01-09,5.156249523162842,67.98228514069766,-0.7630887667339437,0.0,0.0,0.025447720025637943,1.0,0.18023968402829563,0.02653017284087264,0.009508076861516434,0.02275205484633439,0.4178996985429776,0.06468759717661397,0.13642238603074705,0.0673763731674555,1.3142264432094974,-0.13698245191743652,0.49497975817648343,-0.002269230957314905,0.026377095739355427,0.16910359677477604,0.01637476224799128,0.0069668051226641214,-0.007261277505540987,0.020695933256404977,0.005028560320164195,1.229779768021874,0.40893122019460676,0.0,-0.002790654320274779,0.0,-0.002269230957314905,38.467535049630115,2.8223941207978314,80.71828826495766,83.52199850382273,0.0,0.0,0.02275205484633439,0.5511501866378614
1997-01-10,5.2207465171813965,69.95740699365041,1.9751218529527534,0.0,0.0,0.024092922005163997,1.0,0.17162474191595808,0.02579083713526198,0.009655519764379035,0.0226952823221046,0.42544171195327307,0.06907440676334459,0.1475705488939851,0.073424395565029,1.467746751016835,-0.12618738907446425,0.5136797260674524,0.012508509087626907,0.0272265200419759,0.183412977303117,-0.002269230957314905,0.01637476224799128,0.016602255844211832,0.014150924434465481,-0.004026891277341603,1.2105769008103888,0.3836998846360413,0.0,0.015142512165057966,0.0,0.012508509087626907,39.48282726171158,3.1219073195698357,91.11523978956542,85.00485590818023,0.0,0.0,0.0226952823221046,-0.07184606111812562
1997-01-13,5.212538719177246,69.37092736592446,-0.5864796277259501,0.0,0.0,0.01998013977158075,1.0,0.17091270104058262,0.025432595979280867,0.008304242338894307,0.021882205334631324,0.3794975054800261,0.0604038333189322,0.14181660780488242,0.07677525479244861,1.2993934336558854,-0.12756115379955724,0.5112999940897263,-0.0015721502618712968,0.03228058803854261,0.14091375290499464,0.012508509087626907,-0.002269230957314905,-0.011679963701423279,0.020247519019851272,0.010227267553339735,1.0063591452212413,0.01151479228506988,0.0,-0.0015821477936961488,0.0,-0.0015721502618712968,39.68410110754286,2.0710918033837302,88.93451201121012,86.92268002191106,0.0,0.0,0.021882205334631324,1.768088719544693
1997-01-14,5.420101165771484,75.06406506222851,5.693137696304049,1.0,0.0,0.02807871945651738,1.0,0.1681786829151169,0.027007834970340656,0.01714954401288495,0.02252140258104549,0.7614776189524886,0.09249060482334837,0.1817042667486047,0.0816608047074985,1.9625953050697602,-0.09282078040818198,0.4567945901577468,0.039819837851871265,0.0659595015558796,0.2023933250252632,-0.0015721502618712968,0.012508509087626907,0.0078739206351094,0.06014715829312182,0.03169634272968502,1.2764990413998067,0.5040695589837664,0.0,0.05082998484660941,0.0,0.039819837851871265,40.90016831869713,2.4326332690670185,86.03171503525778,88.69382227867777,0.0,0.0,0.02252140258104549,2.666728937297308
1997-01-15,5.800048828125,81.75088160248524,6.686816540256729,1.0,0.0,0.054343827954314666,1.0,0.18997844702217026,0.028114975549656935,0.031028677059972566,0.026286787270965273,1.180390617542102,0.15481174384402654,0.2562739624586227,0.08786039729459146,2.751124038619814,-0.029227756352414813,0.462337451557814,0.07009973628406163,0.12230549584043526,0.2678801026388422,0.039819837851871265,-0.0015721502618712968,0.016875952008003917,0.055600524418308504,0.05234048870066966,2.075513344505008,1.8573246404587216,0.0,0.14549293810385183,0.0,0.07009973628406163,42.65544235892297,3.1726150972113913,100.00000000000001,91.6554090154893,0.0,0.0,0.026286787270965273,-0.9053149112102502
