epoch,lr-Adam,step,train_loss_epoch,train_loss_step
,0.003,0,,
0,,49,,0.007129178382456303
0,,99,,0.009126963093876839
0,,149,,0.009310816414654255
0,,189,0.011187762022018433,
,0.003,190,,
1,,199,,0.008559590205550194
1,,249,,0.012349301017820835
1,,299,,0.009400254115462303
1,,349,,0.008146611042320728
1,,379,0.01099924836307764,
,0.003,380,,
2,,399,,0.009495213627815247
2,,449,,0.007320393342524767
2,,499,,0.009169728495180607
2,,549,,0.008463354781270027
2,,569,0.011010689660906792,
,0.003,570,,
3,,599,,0.009382011368870735
3,,649,,0.012833583168685436
3,,699,,0.009470585733652115
3,,749,,0.0070883845910429955
3,,759,0.010973474010825157,
,0.003,760,,
4,,799,,0.015703074634075165
4,,849,,0.007435964420437813
4,,899,,0.009961341507732868
4,,949,,0.010693020187318325
4,,949,0.010938556864857674,
,0.003,950,,
5,,999,,0.016888560727238655
5,,1049,,0.009449644014239311
5,,1099,,0.01011695247143507
5,,1139,0.010961323045194149,
,0.003,1140,,
6,,1149,,0.011142918840050697
6,,1199,,0.01208103820681572
6,,1249,,0.007277036085724831
6,,1299,,0.011513877660036087
6,,1329,0.010968292132019997,
,0.003,1330,,
7,,1349,,0.006891231052577496
7,,1399,,0.008296884596347809
7,,1449,,0.014028477482497692
7,,1499,,0.008750964887440205
7,,1519,0.010952498763799667,
,0.003,1520,,
8,,1549,,0.010859237983822823
8,,1599,,0.010553552769124508
8,,1649,,0.011892061680555344
8,,1699,,0.006533242762088776
8,,1709,0.010941831395030022,
,0.003,1710,,
9,,1749,,0.01786598190665245
9,,1799,,0.012026751413941383
9,,1849,,0.011756743304431438
9,,1899,,0.009253034368157387
9,,1899,0.010935100726783276,
