epoch,lr-Adam,step,train_loss_epoch,train_loss_step
,0.05,0,,
0,,49,,0.010522095486521721
0,,99,,0.007274207659065723
0,,149,,0.010576097294688225
0,,189,0.01142936386168003,
,0.05,190,,
1,,199,,0.007125175092369318
1,,249,,0.010952895507216454
1,,299,,0.013109021820127964
1,,349,,0.012862995266914368
1,,379,0.011120045557618141,
,0.05,380,,
2,,399,,0.014395504258573055
2,,449,,0.011764036491513252
2,,499,,0.009860679507255554
2,,549,,0.0073523069731891155
2,,569,0.011014836840331554,
,0.05,570,,
3,,599,,0.008474467322230339
3,,649,,0.007794488221406937
3,,699,,0.008290908299386501
3,,749,,0.009279710240662098
3,,759,0.01098658423870802,
,0.05,760,,
4,,799,,0.008201012387871742
4,,849,,0.010021400637924671
4,,899,,0.011895600706338882
4,,949,,0.011758686974644661
4,,949,0.010973600670695305,
,0.05,950,,
5,,999,,0.009487814269959927
5,,1049,,0.007583127357065678
5,,1099,,0.01186280231922865
5,,1139,0.011010617017745972,
,0.05,1140,,
6,,1149,,0.010690638795495033
6,,1199,,0.006892298348248005
6,,1249,,0.009579034522175789
6,,1299,,0.011476604267954826
6,,1329,0.010977029800415039,
,0.05,1330,,
7,,1349,,0.006452181376516819
7,,1399,,0.008569443598389626
7,,1449,,0.010176490060985088
7,,1499,,0.0067348601296544075
7,,1519,0.010979844257235527,
,0.05,1520,,
8,,1549,,0.007143300026655197
8,,1599,,0.012725083157420158
8,,1649,,0.010260733775794506
8,,1699,,0.010895751416683197
8,,1709,0.010996432974934578,
,0.05,1710,,
9,,1749,,0.013211969286203384
9,,1799,,0.009669214487075806
9,,1849,,0.011182140558958054
9,,1899,,0.0073767974972724915
9,,1899,0.010961921885609627,
