epoch,lr-Adam,step,train_loss_epoch,train_loss_step
,0.05,0,,
0,,49,,0.012197745963931084
0,,99,,0.009665282443165779
0,,149,,0.01649964228272438
0,,188,0.011106593534350395,
,0.05,189,,
1,,199,,0.00916261225938797
1,,249,,0.013110837899148464
1,,299,,0.006671123206615448
1,,349,,0.009763142094016075
1,,377,0.010709598660469055,
,0.05,378,,
2,,399,,0.011886312626302242
2,,449,,0.00911305844783783
2,,499,,0.008072331547737122
2,,549,,0.016684535890817642
2,,566,0.01076278742402792,
,0.05,567,,
3,,599,,0.009921066462993622
3,,649,,0.00850821752101183
3,,699,,0.00892927311360836
3,,749,,0.009233816526830196
3,,755,0.010701823979616165,
,0.05,756,,
4,,799,,0.00980241410434246
4,,849,,0.012288514524698257
4,,899,,0.012128423899412155
4,,944,0.010724220424890518,
,0.05,945,,
5,,949,,0.009662646800279617
5,,999,,0.0090705007314682
5,,1049,,0.008094298653304577
5,,1099,,0.0075322100892663
5,,1133,0.010704267770051956,
,0.05,1134,,
6,,1149,,0.0091332932934165
6,,1199,,0.013970058411359787
6,,1249,,0.013751395046710968
6,,1299,,0.010025677271187305
6,,1322,0.010799737647175789,
,0.05,1323,,
7,,1349,,0.01082288846373558
7,,1399,,0.007919528521597385
7,,1449,,0.014503773301839828
7,,1499,,0.008433213457465172
7,,1511,0.010742140002548695,
,0.05,1512,,
8,,1549,,0.017177684232592583
8,,1599,,0.00862081814557314
8,,1649,,0.008448908105492592
8,,1699,,0.009405325166881084
8,,1700,0.010876129381358624,
,0.05,1701,,
9,,1749,,0.014668083749711514
9,,1799,,0.009439906105399132
9,,1849,,0.008550741709768772
9,,1889,0.010803217999637127,
