epoch,lr-Adam,step,train_loss_epoch,train_loss_step
,0.003,0,,
0,,49,,0.009319300763309002
0,,99,,0.007470257114619017
0,,149,,0.010009528137743473
0,,189,0.011205409653484821,
,0.003,190,,
1,,199,,0.021476663649082184
1,,249,,0.008517537266016006
1,,299,,0.006723907310515642
1,,349,,0.012540099211037159
1,,379,0.01097934041172266,
,0.003,380,,
2,,399,,0.011093777604401112
2,,449,,0.008699679747223854
2,,499,,0.006333432625979185
2,,549,,0.009311364963650703
2,,569,0.010976907797157764,
,0.003,570,,
3,,599,,0.015185302123427391
3,,649,,0.008558476343750954
3,,699,,0.011163314804434776
3,,749,,0.009926614351570606
3,,759,0.010948730632662773,
,0.003,760,,
4,,799,,0.008838415145874023
4,,849,,0.009594167582690716
4,,899,,0.011012100614607334
4,,949,,0.011782749556005001
4,,949,0.010919838212430477,
,0.003,950,,
5,,999,,0.009432345628738403
5,,1049,,0.012808403000235558
5,,1099,,0.009834925644099712
5,,1139,0.010912450030446053,
,0.003,1140,,
6,,1149,,0.010572480037808418
6,,1199,,0.00792235042899847
6,,1249,,0.01036364771425724
6,,1299,,0.010830648243427277
6,,1329,0.010891344398260117,
,0.003,1330,,
7,,1349,,0.012404434382915497
7,,1399,,0.00855654664337635
7,,1449,,0.012815453112125397
7,,1499,,0.009464969858527184
7,,1519,0.010878963395953178,
,0.003,1520,,
8,,1549,,0.010395696386694908
8,,1599,,0.00649862689897418
8,,1649,,0.009220767766237259
8,,1699,,0.01255856640636921
8,,1709,0.010885152965784073,
,0.003,1710,,
9,,1749,,0.014763650484383106
9,,1799,,0.010590646415948868
9,,1849,,0.007142242975533009
9,,1899,,0.009166003204882145
9,,1899,0.010875547304749489,
