epoch,lr-Adam,step,train_loss_epoch,train_loss_step
,0.05,0,,
0,,49,,0.01527800690382719
0,,99,,0.006976292468607426
0,,149,,0.007714434526860714
0,,189,0.011394965462386608,
,0.05,190,,
1,,199,,0.0071860309690237045
1,,249,,0.008969379588961601
1,,299,,0.007146743126213551
1,,349,,0.010551250539720058
1,,379,0.011029851622879505,
,0.05,380,,
2,,399,,0.015169101767241955
2,,449,,0.0069863880053162575
2,,499,,0.007236586418002844
2,,549,,0.013458781875669956
2,,569,0.011036045849323273,
,0.05,570,,
3,,599,,0.011304175481200218
3,,649,,0.01227676123380661
3,,699,,0.010858056135475636
3,,749,,0.010605261661112309
3,,759,0.010963707230985165,
,0.05,760,,
4,,799,,0.010077047161757946
4,,849,,0.01265089213848114
4,,899,,0.007992369122803211
4,,949,,0.009463575668632984
4,,949,0.010998787358403206,
,0.05,950,,
5,,999,,0.008762273006141186
5,,1049,,0.010207169689238071
5,,1099,,0.007860102690756321
5,,1139,0.011034296825528145,
,0.05,1140,,
6,,1149,,0.010833433829247952
6,,1199,,0.010296802967786789
6,,1249,,0.009345639497041702
6,,1299,,0.010112300515174866
6,,1329,0.011075391434133053,
,0.05,1330,,
7,,1349,,0.008410819806158543
7,,1399,,0.008810422383248806
7,,1449,,0.0074547454714775085
7,,1499,,0.009120233356952667
7,,1519,0.011000110767781734,
,0.05,1520,,
8,,1549,,0.0110133932903409
8,,1599,,0.010159729048609734
8,,1649,,0.007543402723968029
8,,1699,,0.011310172267258167
8,,1709,0.01079575251787901,
,0.05,1710,,
9,,1749,,0.00921996682882309
9,,1799,,0.008683297783136368
9,,1849,,0.012557621113955975
9,,1899,,0.012456893920898438
9,,1899,0.01101947296410799,
