epoch,lr-Adam,step,train_loss_epoch,train_loss_step
,0.05,0,,
0,,49,,0.007507769390940666
0,,99,,0.008118714205920696
0,,149,,0.01176789216697216
0,,188,0.011137966997921467,
,0.05,189,,
1,,199,,0.011927901767194271
1,,249,,0.007681043818593025
1,,299,,0.013145971111953259
1,,349,,0.011885206215083599
1,,377,0.010805895552039146,
,0.05,378,,
2,,399,,0.014702238142490387
2,,449,,0.013392604887485504
2,,499,,0.010595799423754215
2,,549,,0.007665961515158415
2,,566,0.010680263862013817,
,0.05,567,,
3,,599,,0.010056751780211926
3,,649,,0.00921299122273922
3,,699,,0.009353733621537685
3,,749,,0.011343913152813911
3,,755,0.010727080516517162,
,0.05,756,,
4,,799,,0.009122129529714584
4,,849,,0.008133405819535255
4,,899,,0.015390429645776749
4,,944,0.01073456835001707,
,0.05,945,,
5,,949,,0.008645493537187576
5,,999,,0.006897845305502415
5,,1049,,0.01036533247679472
5,,1099,,0.010531146079301834
5,,1133,0.010755922645330429,
,0.05,1134,,
6,,1149,,0.013139087706804276
6,,1199,,0.009296192787587643
6,,1249,,0.009894647635519505
6,,1299,,0.010907568968832493
6,,1322,0.010739040561020374,
,0.05,1323,,
7,,1349,,0.01347281038761139
7,,1399,,0.008384560234844685
7,,1449,,0.011733806692063808
7,,1499,,0.01178739033639431
7,,1511,0.01076030358672142,
,0.05,1512,,
8,,1549,,0.008767552673816681
8,,1599,,0.01005291286855936
8,,1649,,0.008856626227498055
8,,1699,,0.008242997340857983
8,,1700,0.010722366161644459,
,0.05,1701,,
9,,1749,,0.007280195131897926
9,,1799,,0.011009939014911652
9,,1849,,0.01056160032749176
9,,1889,0.010728678666055202,
