epoch,lr-Adam,step,train_loss_epoch,train_loss_step
,0.003,0,,
0,,49,,0.009957771748304367
0,,99,,0.008619295433163643
0,,149,,0.010700825601816177
0,,189,0.011124657467007637,
,0.003,190,,
1,,199,,0.013592695817351341
1,,249,,0.008255619555711746
1,,299,,0.01177089475095272
1,,349,,0.01002772431820631
1,,379,0.01098156999796629,
,0.003,380,,
2,,399,,0.011627568863332272
2,,449,,0.009327377192676067
2,,499,,0.01223614439368248
2,,549,,0.011453854851424694
2,,569,0.010420744307339191,
,0.003,570,,
3,,599,,0.008338208310306072
3,,649,,0.008721886202692986
3,,699,,0.008402172476053238
3,,749,,0.012029408477246761
3,,759,0.010976411402225494,
,0.003,760,,
4,,799,,0.008351592347025871
4,,849,,0.00917948316782713
4,,899,,0.008278002962470055
4,,949,,0.013004746288061142
4,,949,0.010927638038992882,
,0.003,950,,
5,,999,,0.008998309262096882
5,,1049,,0.01065976545214653
5,,1099,,0.011896556243300438
5,,1139,0.010950753465294838,
,0.003,1140,,
6,,1149,,0.01237973477691412
6,,1199,,0.009082412347197533
6,,1249,,0.01374933123588562
6,,1299,,0.010740005411207676
6,,1329,0.010938833467662334,
,0.003,1330,,
7,,1349,,0.00936800241470337
7,,1399,,0.011907333508133888
7,,1449,,0.007505466695874929
7,,1499,,0.00876909215003252
7,,1519,0.010924956761300564,
,0.003,1520,,
8,,1549,,0.008449611254036427
8,,1599,,0.00793739315122366
8,,1649,,0.008710543625056744
8,,1699,,0.009512697346508503
8,,1709,0.010917696170508862,
,0.003,1710,,
9,,1749,,0.010341488756239414
9,,1799,,0.007926354184746742
9,,1849,,0.01193169504404068
9,,1899,,0.011441415175795555
9,,1899,0.010911275632679462,
